Date and Time, Read Value - kWh (kilowatt hours), Reading quality
04/01/22 19:30, 0, Actual
04/01/22 19:30, 0.91, Actual
04/01/22 20:00, 0, Actual
04/01/22 20:00, 0.466, Actual
04/01/22 20:30, 0, Actual
04/01/22 20:30, 0.442, Actual
04/01/22 21:00, 0, Actual
04/01/22 21:00, 0.386, Actual
04/01/22 21:30, 0.541, Actual
04/01/22 21:30, 0.338, Actual
04/01/22 22:00, 0, Actual
04/01/22 22:00, 0.3, Actual
04/01/22 22:30, 0.714, Actual
04/01/22 22:30, 0.307, Actual
04/01/22 23:00, 0, Actual
04/01/22 23:00, 0.292, Actual
04/01/22 23:30, 0, Actual
04/01/22 23:30, 0.281, Actual
05/01/22 00:00, 0, Actual
05/01/22 00:00, 0.274, Actual
05/01/22 00:30, 0, Actual
05/01/22 00:30, 0.252, Actual
05/01/22 01:00, 0, Actual
05/01/22 01:00, 0.247, Actual
05/01/22 01:30, 0, Actual
05/01/22 01:30, 0.25, Actual
05/01/22 02:00, 0, Actual
05/01/22 02:00, 0.25, Actual
05/01/22 02:30, 0, Actual
05/01/22 02:30, 0.228, Actual
05/01/22 03:00, 0, Actual
05/01/22 03:00, 0.21, Actual
05/01/22 03:30, 0, Actual
05/01/22 03:30, 0.214, Actual
05/01/22 04:00, 0, Actual
05/01/22 04:00, 0.119, Actual
05/01/22 04:30, 0, Actual
05/01/22 04:30, 0.09, Actual
05/01/22 05:00, 0, Actual
05/01/22 05:00, 0.139, Actual
05/01/22 05:30, 0.458, Actual
05/01/22 05:30, 0.276, Actual
05/01/22 06:00, 0.093, Actual
05/01/22 06:00, 0.23, Actual
05/01/22 06:30, 0.262, Actual
05/01/22 06:30, 0.222, Actual
05/01/22 07:00, 0.505, Actual
05/01/22 07:00, 0.253, Actual
05/01/22 07:30, 0, Actual
05/01/22 07:30, 0.167, Actual
05/01/22 08:00, 0.491, Actual
05/01/22 08:00, 0.184, Actual
05/01/22 08:30, 0.939, Actual
05/01/22 08:30, 0.183, Actual
05/01/22 09:00, 0.803, Actual
05/01/22 09:00, 0.18, Actual
05/01/22 09:30, 0.512, Actual
05/01/22 09:30, 0.188, Actual
05/01/22 10:00, 0, Actual
05/01/22 10:00, 0.267, Actual
05/01/22 10:30, 0.843, Actual
05/01/22 10:30, 0.253, Actual
05/01/22 11:00, 0.419, Actual
05/01/22 11:00, 0.572, Actual
05/01/22 11:30, 0, Actual
05/01/22 11:30, 0.651, Actual
05/01/22 12:00, 0, Actual
05/01/22 12:00, 0.605, Actual
05/01/22 12:30, 0, Actual
05/01/22 12:30, 0.514, Actual
05/01/22 13:00, 0, Actual
05/01/22 13:00, 0.594, Actual
05/01/22 13:30, 0, Actual
05/01/22 13:30, 0.465, Actual
05/01/22 14:00, 0, Actual
05/01/22 14:00, 0.388, Actual
05/01/22 14:30, 0, Actual
05/01/22 14:30, 0.428, Actual
05/01/22 15:00, 0, Actual
05/01/22 15:00, 0.519, Actual
05/01/22 15:30, 0, Actual
05/01/22 15:30, 0.481, Actual
05/01/22 16:00, 0, Actual
05/01/22 16:00, 0.952, Actual
05/01/22 16:30, 0.517, Actual
05/01/22 16:30, 0.903, Actual
05/01/22 17:00, 0, Actual
05/01/22 17:00, 0.711, Actual
05/01/22 17:30, 0, Actual
05/01/22 17:30, 0.428, Actual
05/01/22 18:00, 0, Actual
05/01/22 18:00, 0.413, Actual
05/01/22 18:30, 0, Actual
05/01/22 18:30, 0.48, Actual
05/01/22 19:00, 0, Actual
05/01/22 19:00, 0.371, Actual
05/01/22 19:30, 0, Actual
05/01/22 19:30, 0.458, Actual
05/01/22 20:00, 0, Actual
05/01/22 20:00, 0.414, Actual
05/01/22 20:30, 0, Actual
05/01/22 20:30, 0.542, Actual
05/01/22 21:00, 0, Actual
05/01/22 21:00, 0.241, Actual
05/01/22 21:30, 0, Actual
05/01/22 21:30, 0.631, Actual
05/01/22 22:00, 0, Actual
05/01/22 22:00, 0.201, Actual
05/01/22 22:30, 0.56, Actual
05/01/22 22:30, 0.159, Actual
05/01/22 23:00, 0.01, Actual
05/01/22 23:00, 0.106, Actual
05/01/22 23:30, 0, Actual
05/01/22 23:30, 0.099, Actual
